text,label,language,style
arre... unpredictable behaviour hai situation continuously changing,CONTRADICTORY_CHANGING_SITUATION,hinglish,conversational_augmented
he threatened me but I am safe now मुझे समझ नहीं आ रहा क्या करूं।,CURRENT_SAFETY_REASSURANCE,hi,conversational_augmented
usne private photos leak karne ki blackmailing shuru kar di jaldi kuch kijiye.,COERCION_BLACKMAIL,hinglish,conversational_augmented
मैं बहुत परेशान हूं... निचली जाति का बोलकर मंदिर में जाने से रोका क्या आप सुन रहे हैं?,DISCRIMINATION_CASTE_VULNERABILITY,hi,conversational_augmented
मेरी बात सुनिए... रोज मेरे कॉलेज के बाहर खड़ा रहता है,STALKING_FOLLOWING,hi,conversational_augmented
husband locked me in the room without food,DOMESTIC_FAMILY_VIOLENCE,hinglish,direct_seed
my heart is pounding with extreme anxiety,FEAR_DISTRESS_PANIC,en,direct_seed
अरे... बाहर लोग हथियारों के साथ खड़े हैं जल्दी पुलिस भेजिए।,IMMEDIATE_PHYSICAL_DANGER,hi,conversational_augmented
urgent hai... pregnant lady hai ghar pe aur small kids hain send help immediately.,CHILD_ELDERLY_DISABILITY_VULNERABILITY,hinglish,conversational_augmented
hello... feeling completely hopeless wanting to quit life mujhe samajh nahi aa raha kya karu.,SELF_HARM_CONCERN,hinglish,conversational_augmented
arre... pregnant lady hai ghar pe aur small kids hain,CHILD_ELDERLY_DISABILITY_VULNERABILITY,hinglish,conversational_augmented
नमस्ते... सिर पर गहरी चोट है और उल्टियां हो रही हैं क्या आप सुन रहे हैं?,MEDICAL_EMERGENCY,hi,conversational_augmented
please... facing continuous spousal abuse and physical cruelty jaldi kuch kijiye.,DOMESTIC_FAMILY_VIOLENCE,hinglish,conversational_augmented
sir... entire village mob is pressurizing our family,SOCIAL_COMMUNITY_PRESSURE,hinglish,conversational_augmented
प्लीज... कोई सहारा नहीं है बिल्कुल बेसहारा हूं जल्दी पुलिस भेजिए।,ISOLATION_NO_SUPPORT,hi,conversational_augmented
help kijiye... bahut ghabrahat ho rahi hai panic ho raha hai send help immediately.,FEAR_DISTRESS_PANIC,hinglish,conversational_augmented
madam... have no family or friends to support me here,ISOLATION_NO_SUPPORT,hinglish,conversational_augmented
help kijiye... mai yahan bilkul akela hu koi relative nahi hai send help immediately.,ISOLATION_NO_SUPPORT,hinglish,conversational_augmented
जबरदस्ती करने की कोशिश की उसने तुरंत मदद चाहिए।,SEXUAL_VIOLENCE_HARASSMENT,hi,conversational_augmented
urgent hai... pata nahi kahan hu landmark nahi dikh raha send help immediately.,UNCERTAINTY_UNCLEAR_INFO,hinglish,conversational_augmented
arre... someone threatened me send help immediately.,THREAT_INTIMIDATION,hinglish,conversational_augmented
Please listen... I would like to speak to a psychological counselor I don't know what to do.,REQUEST_COUNSELLING_LEGAL_MEDICAL,en,conversational_augmented
अरे... कोई सहारा नहीं है बिल्कुल बेसहारा हूं तुरंत मदद चाहिए।,ISOLATION_NO_SUPPORT,hi,conversational_augmented
the information is hazy and I cannot be sure please send police now.,UNCERTAINTY_UNCLEAR_INFO,en,conversational_augmented
I need urgent police security and protection right now please help immediately.,REQUEST_POLICE_EMERGENCY_HELP,en,conversational_augmented
please dispatch police to my location immediately please do something quickly.,REQUEST_POLICE_EMERGENCY_HELP,en,conversational_augmented
Please hear me... I am stranded on the roadside with nowhere to sleep I am telling the truth.,NO_SAFE_PLACE_HOMELESSNESS,en,conversational_augmented
छुआछूत का व्यवहार कर रहे हैं हमारे साथ,DISCRIMINATION_CASTE_VULNERABILITY,hi,conversational_augmented
please... disabled person par assault attempt hua hai,CHILD_ELDERLY_DISABILITY_VULNERABILITY,hinglish,conversational_augmented
listen... patient is unconscious please dispatch medical team kya aap sun rahe ho?,MEDICAL_EMERGENCY,hinglish,conversational_augmented
describe kar rahe the mere saath discrimi mai sach bol raha hu.,DISCRIMINATION_CASTE_VULNERABILITY,hinglish,conversational_augmented
सुनिए... मैं पुलिस स्टेशन पहुंच चुका हूं और सेफ हूं क्या आप सुन रहे हैं?,CURRENT_SAFETY_REASSURANCE,hi,conversational_augmented
help kijiye... stalking me continuously for past two weeks mujhe samajh nahi aa raha kya karu.,STALKING_FOLLOWING,hinglish,conversational_augmented
urgent hai... situation bahut dangerous hai bachao,IMMEDIATE_PHYSICAL_DANGER,hinglish,conversational_augmented
chest pain aur breathing difficulty ho rahi hai,MEDICAL_EMERGENCY,hinglish,conversational_augmented
suniye... he follows me everywhere I go,STALKING_FOLLOWING,hinglish,conversational_augmented
I need urgent help... I am having thoughts of self harm I am telling the truth.,SELF_HARM_CONCERN,en,conversational_augmented
Excuse me... experiencing severe chest pain and medical collapse,MEDICAL_EMERGENCY,en,conversational_augmented
he is banging on my window violently mujhe samajh nahi aa raha kya karu.,IMMEDIATE_PHYSICAL_DANGER,hinglish,conversational_augmented
मैडम... उसने मुझे गलत तरीके से छुआ,SEXUAL_VIOLENCE_HARASSMENT,hi,conversational_augmented
